strain 	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	originating_lab	submitting_lab	authors	url	title	date_submitted
China1/2019	ncov	?	NC_045512	2019-12-XX	Asia	China			Asia	China	China	genome	29903	Homo sapiens	?	?	?	?	Baranov P.V. et al.	https://www.ncbi.nlm.nih.gov/nuccore/NC_045512	Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome	2020-01-13
China1/2020	ncov	?	MT079851	2020-01-22	Asia	China			Asia	China	China	genome	30018	Homo sapiens	?	?	?	?	Wang X. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT079851	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/WHUHnCoV011/2020, complete genome	2020-05-15
China2/2020	ncov	?	MT079845	2020-01-22	Asia	China			Asia	China	China	genome	29955	Homo sapiens	?	?	?	?	Wang X. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT079845	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/WHUHnCoV003/2020, complete genome	2020-05-15
China3/2020	ncov	?	MT121215	2020-02-02	Asia	China	Shanghai		Asia	China	Shanghai	genome	29945	Homo sapiens	?	?	?	?	Zhang R. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT121215	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/SH01/2020, complete genome	2020-03-09
China4/2020	ncov	?	MT123292	2020-01-27	Asia	China	Guangzhou		Asia	China	Guangdong	genome	29923	Homo sapiens	?	?	?	?	Huang J. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT123292	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/IQTC04/2020, complete genome	2020-02-28
China5/2020	ncov	?	MT079843	2020-01-22	Asia	China			Asia	China	China	genome	29915	Homo sapiens	?	?	?	?	Wang X. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT079843	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/WHUHnCoV001/2020, complete genome	2020-05-15
China6/2020	ncov	?	MT079844	2020-01-22	Asia	China			Asia	China	China	genome	29910	Homo sapiens	?	?	?	?	Wang X. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT079844	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/WHUHnCoV002/2020, complete genome	2020-05-15
China7/2020	ncov	?	MT079849	2020-01-22	Asia	China			Asia	China	China	genome	29904	Homo sapiens	?	?	?	?	Wang X. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT079849	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/WHUHnCoV007/2020, complete genome	2020-05-15
China8/2020	ncov	?	MT510727	2020-02-15	Asia	China	Meizhou		Asia	China	Guangdong	genome	29903	Homo sapiens	?	?	?	?	Guo X. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT510727	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/SARS-CoV-2-MZ02, Meizhou_MZ02/2020, complete genome	2020-05-26
China9/2020	ncov	?	MT510728	2020-02-13	Asia	China	Meizhou		Asia	China	Guangdong	genome	29903	Homo sapiens	?	?	?	?	Guo X. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT510728	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/SARS-CoV-2-MZ01, Meizhou_MZ01/2020, complete genome	2020-05-26
China10/2020	ncov	?	MT079846	2020-01-22	Asia	China			Asia	China	China	genome	29903	Homo sapiens	?	?	?	?	Wang X. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT079846	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/WHUHnCoV004/2020, complete genome	2020-05-15
China11/2020	ncov	?	MT281577	2020-03-10	Asia	China	Fuyang		Asia	China	Anhui	genome	29903	Homo sapiens	?	?	?	?	Ge B.	https://www.ncbi.nlm.nih.gov/nuccore/MT281577	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/Fuyang_FY002/2020, complete genome	2020-04-06
China12/2020	ncov	?	MT135041	2020-01-26	Asia	China	Beijing		Asia	China	Beijing	genome	29903	Homo sapiens	?	?	?	?	Li J. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT135041	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/105/2020, complete genome	2020-03-04
China13/2020	ncov	?	MT135042	2020-01-28	Asia	China	Beijing		Asia	China	Beijing	genome	29903	Homo sapiens	?	?	?	?	Li J. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT135042	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/231/2020, complete genome	2020-03-04
China14/2020	ncov	?	MT049951	2020-01-17	Asia	China			Asia	China	Yunnan	genome	29903	Homo sapiens	?	?	?	?	Fu X. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT049951	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/Yunnan-01/2020, complete genome	2020-02-12
